shipment_id,status,delay_risk_score,risk_level,risk_flag,delay_probability
SHP-00001,Delivered,53.7,HIGH,True,0.5372023853569602
SHP-00002,Delayed,50.7,HIGH,True,0.5072288187968815
SHP-00003,Cancelled,39.5,MEDIUM,False,0.3952902705415622
SHP-00004,Delivered,60.5,CRITICAL,True,0.6048412299983478
SHP-00005,Delayed,9.5,LOW,False,0.09496408667837111
SHP-00006,Delivered,53.6,HIGH,True,0.5361031715485269
SHP-00007,Delivered,49.5,HIGH,True,0.4952631354399689
SHP-00008,Delivered,5.7,LOW,False,0.05732251558669899
SHP-00009,Delivered,70.2,CRITICAL,True,0.7021481555794817
SHP-00010,Delivered,53.4,HIGH,True,0.5343318385938651
SHP-00011,Delivered,59.1,HIGH,True,0.5909876776309926
SHP-00012,Delayed,43.4,HIGH,True,0.4335982566396483
SHP-00013,Delivered,10.0,LOW,False,0.09976674221948491
SHP-00014,Lost,56.2,HIGH,True,0.562224069579836
SHP-00015,Delivered,41.1,HIGH,True,0.4113220114135344
SHP-00016,Delivered,64.0,CRITICAL,True,0.6397748302784796
SHP-00017,Delayed,62.9,CRITICAL,True,0.6293979373596958
SHP-00018,Delayed,38.3,MEDIUM,False,0.38347958103554763
SHP-00019,Delivered,38.9,MEDIUM,False,0.3887006555515535
SHP-00020,Lost,53.1,HIGH,True,0.5309271027590176
SHP-00021,Delivered,91.5,CRITICAL,True,0.9151976647430797
SHP-00022,Delivered,60.7,CRITICAL,True,0.6066021441773135
SHP-00023,Delivered,49.2,HIGH,True,0.49201183220743755
SHP-00024,Delivered,53.9,HIGH,True,0.5385802622956513
SHP-00025,Delivered,7.2,LOW,False,0.07210595686180821
SHP-00026,Delivered,41.6,HIGH,True,0.41561904975880404
SHP-00027,Delivered,57.8,HIGH,True,0.5783739334579899
SHP-00028,Delivered,55.3,HIGH,True,0.553201563712677
SHP-00029,Delivered,48.6,HIGH,True,0.48587171924939043
SHP-00030,Delayed,52.8,HIGH,True,0.5284854292747656
SHP-00031,Lost,20.3,LOW,False,0.20336649195206535
SHP-00032,Delayed,57.2,HIGH,True,0.5724151785392116
SHP-00033,Delayed,87.3,CRITICAL,True,0.8727075908093357
SHP-00034,Delivered,47.9,HIGH,True,0.47907166793848444
SHP-00035,Lost,57.9,HIGH,True,0.5792256998245491
SHP-00036,Delivered,37.1,MEDIUM,False,0.3709904830571304
SHP-00037,Delayed,52.6,HIGH,True,0.5260787932571902
SHP-00038,Delivered,67.3,CRITICAL,True,0.6728726025897785
SHP-00039,Cancelled,60.1,CRITICAL,True,0.6009108076988885
SHP-00040,Delivered,37.3,MEDIUM,False,0.37326839003628204
SHP-00041,Delivered,48.7,HIGH,True,0.4874144889484284
SHP-00042,Delivered,6.0,LOW,False,0.0596132786986206
SHP-00043,Cancelled,6.4,LOW,False,0.06359665913144413
SHP-00044,Delivered,9.0,LOW,False,0.08956162489942428
SHP-00045,Delayed,93.6,CRITICAL,True,0.9356488758039228
SHP-00046,Delivered,45.0,HIGH,True,0.44978943119828363
SHP-00047,Delivered,91.3,CRITICAL,True,0.9129693077827352
SHP-00048,Delivered,49.1,HIGH,True,0.4906967863876112
SHP-00049,Delivered,9.7,LOW,False,0.0967421244790675
SHP-00050,Delivered,49.9,HIGH,True,0.4988482477969005
SHP-00051,Delivered,51.5,HIGH,True,0.5149995751961498
SHP-00052,Delivered,51.5,HIGH,True,0.5147840797131279
SHP-00053,Delivered,63.7,CRITICAL,True,0.636675132547764
SHP-00054,Delayed,48.9,HIGH,True,0.48934398558015646
SHP-00055,Delivered,9.6,LOW,False,0.09616596827506607
SHP-00056,Delivered,55.5,HIGH,True,0.5547588867854361
SHP-00057,Delivered,48.2,HIGH,True,0.4823214090661384
SHP-00058,Delivered,20.8,LOW,False,0.20755285756723482
SHP-00059,Delivered,47.8,HIGH,True,0.4775439435634374
SHP-00060,Delivered,37.9,MEDIUM,False,0.3793870950980648
SHP-00061,Delivered,33.0,MEDIUM,False,0.3303697627273897
SHP-00062,Delivered,46.9,HIGH,True,0.4689682741179578
SHP-00063,Delivered,92.5,CRITICAL,True,0.9250057128179375
SHP-00064,Delivered,8.1,LOW,False,0.08056502818985127
SHP-00065,Delivered,48.1,HIGH,True,0.4814344767218873
SHP-00066,Delivered,5.8,LOW,False,0.05815226610951282
SHP-00067,Delayed,60.2,CRITICAL,True,0.6018385122427401
SHP-00068,Delivered,10.0,LOW,False,0.09958650710086596
SHP-00069,Delivered,63.8,CRITICAL,True,0.6384516487991947
SHP-00070,Delayed,52.7,HIGH,True,0.5267969014509803
SHP-00071,Delayed,51.0,HIGH,True,0.5095501216686201
SHP-00072,Delivered,52.7,HIGH,True,0.5271416182411954
SHP-00073,Cancelled,57.2,HIGH,True,0.5720323835958095
SHP-00074,Delivered,19.9,LOW,False,0.19869543686861932
SHP-00075,Delivered,56.1,HIGH,True,0.5607434989670168
SHP-00076,Delivered,4.6,LOW,False,0.04580434386189423
SHP-00077,Delivered,52.8,HIGH,True,0.527950975633096
SHP-00078,Delivered,53.2,HIGH,True,0.5317696389025457
SHP-00079,Delivered,53.2,HIGH,True,0.5321245659591908
SHP-00080,Delivered,52.5,HIGH,True,0.5251527499961808
SHP-00081,Delivered,48.5,HIGH,True,0.48480270889239474
SHP-00082,Delayed,93.4,CRITICAL,True,0.9344699094769275
SHP-00083,Delivered,62.1,CRITICAL,True,0.6214859745249994
SHP-00084,Delivered,50.4,HIGH,True,0.5042256472066656
SHP-00085,Delivered,71.3,CRITICAL,True,0.7128784224758622
SHP-00086,Delivered,42.7,HIGH,True,0.42699471305419434
SHP-00087,Delayed,50.6,HIGH,True,0.5060336089869546
SHP-00088,Cancelled,17.5,LOW,False,0.17529132907399272
SHP-00089,Delayed,83.3,CRITICAL,True,0.8330726534866051
SHP-00090,Delivered,27.4,MEDIUM,False,0.27442158888528045
SHP-00091,Delivered,49.4,HIGH,True,0.4940595770630022
SHP-00092,Delivered,68.4,CRITICAL,True,0.6843689216023023
SHP-00093,Delayed,46.0,HIGH,True,0.4603935604457922
SHP-00094,Delivered,21.3,LOW,False,0.21295923101591302
SHP-00095,Delivered,10.0,LOW,False,0.10004096933785245
SHP-00096,Delivered,88.6,CRITICAL,True,0.8858802520862683
SHP-00097,Delivered,8.3,LOW,False,0.0828871292785482
SHP-00098,Delivered,16.3,LOW,False,0.16317840570242428
SHP-00099,Delivered,53.4,HIGH,True,0.5335128285342764
SHP-00100,Delivered,17.7,LOW,False,0.1769498315685021
SHP-00101,Delivered,90.0,CRITICAL,True,0.8995895005668506
SHP-00102,Cancelled,52.9,HIGH,True,0.5285121410313026
SHP-00103,Delivered,93.5,CRITICAL,True,0.9353590951547472
SHP-00104,Delivered,39.9,MEDIUM,False,0.39904754274468324
SHP-00105,Delivered,53.7,HIGH,True,0.5374323061620335
SHP-00106,Delayed,92.0,CRITICAL,True,0.9204050535594599
SHP-00107,Cancelled,93.5,CRITICAL,True,0.9352753586086661
SHP-00108,Delivered,92.4,CRITICAL,True,0.9244208076112913
SHP-00109,Delayed,56.0,HIGH,True,0.5598290595459023
SHP-00110,Cancelled,5.8,LOW,False,0.05792671972400599
SHP-00111,Delivered,47.0,HIGH,True,0.4695403103690654
SHP-00112,Delivered,53.5,HIGH,True,0.5347600372942566
SHP-00113,Delayed,92.3,CRITICAL,True,0.9230179535268543
SHP-00114,Delivered,7.8,LOW,False,0.07848330069925209
SHP-00115,Delivered,59.6,HIGH,True,0.5958943410377848
SHP-00116,Delivered,8.3,LOW,False,0.08306585924843714
SHP-00117,Delivered,35.3,MEDIUM,False,0.35349444095848215
SHP-00118,Delivered,40.9,HIGH,True,0.40864840510074774
SHP-00119,Delayed,7.0,LOW,False,0.07018817325752383
