shipment_id,product_id,supplier_id,origin_warehouse_id,destination_warehouse_id,transport_mode,quantity_units,shipment_value_usd,ship_date,planned_delivery_date,actual_delivery_date,planned_transit_days,actual_transit_days,delay_days,is_delayed,status,disruption_cause,freight_cost_usd,carrier_name
SHP-00001,PRD-0031,SUP-015,WH-002,WH-005,Rail,51,7872.36,2023-12-02,2023-12-22,2023-12-24,20,22.0,0,False,Delivered,,7160.54,XPO Logistics
SHP-00002,PRD-0020,SUP-008,WH-006,WH-003,Air Freight,352,101713.92,2023-02-23,2023-02-26,,3,,0,True,Delayed,,1892.96,DHL
SHP-00003,PRD-0057,SUP-013,WH-002,WH-001,Ocean Freight,65,95846.4,2024-04-21,2024-05-21,,30,,0,False,Cancelled,,8764.53,FedEx
SHP-00004,PRD-0074,SUP-015,WH-006,WH-001,Air Freight,71,18742.58,2024-08-12,2024-08-17,2024-08-21,5,9.0,4,True,Delivered,,11984.16,Maersk
SHP-00005,PRD-0035,SUP-002,WH-004,WH-002,Rail,195,290044.95,2023-12-22,2024-01-12,,21,,11,True,Delayed,,9606.66,Kuehne+Nagel
SHP-00006,PRD-0072,SUP-013,WH-005,WH-002,Rail,432,522923.04,2024-12-25,2025-01-09,2025-01-11,15,17.0,0,False,Delivered,,11019.19,FedEx
SHP-00007,PRD-0038,SUP-003,WH-006,WH-004,Road,263,336077.18,2023-11-27,2023-12-05,2023-12-07,8,10.0,0,False,Delivered,,12794.1,CMA CGM
SHP-00008,PRD-0059,SUP-004,WH-004,WH-006,Multimodal,274,83085.02,2024-05-14,2024-05-30,2024-05-31,16,17.0,0,False,Delivered,,14231.33,MSC
SHP-00009,PRD-0029,SUP-010,WH-005,WH-006,Road,123,129191.82,2023-09-05,2023-09-13,2023-09-12,8,7.0,0,False,Delivered,Suez Canal Delay,6185.14,DHL
SHP-00010,PRD-0064,SUP-013,WH-004,WH-001,Rail,138,246183.72,2023-11-10,2023-12-01,2023-12-03,21,23.0,0,False,Delivered,,3611.96,DHL
SHP-00011,PRD-0032,SUP-009,WH-005,WH-006,Road,61,32802.75,2023-11-20,2023-11-24,2023-11-26,4,6.0,2,True,Delivered,,12522.9,FedEx
SHP-00012,PRD-0057,SUP-013,WH-001,WH-007,Multimodal,493,726958.08,2023-08-21,2023-09-20,,30,,7,True,Delayed,,2068.94,Kuehne+Nagel
SHP-00013,PRD-0019,SUP-002,WH-004,WH-001,Road,451,58909.62,2023-04-16,2023-04-24,2023-04-23,8,7.0,0,False,Delivered,,7270.39,MSC
SHP-00014,PRD-0005,SUP-011,WH-002,WH-001,Multimodal,70,123951.1,2024-02-15,2024-02-27,,12,,0,False,Lost,,8459.48,DB Schenker
SHP-00015,PRD-0038,SUP-003,WH-005,WH-007,Rail,327,417860.22,2024-09-12,2024-10-04,2024-10-06,22,24.0,0,False,Delivered,,1091.41,MSC
SHP-00016,PRD-0044,SUP-015,WH-006,WH-001,Air Freight,240,161052.0,2023-08-01,2023-08-05,2023-08-05,4,4.0,0,False,Delivered,,10402.69,Kuehne+Nagel
SHP-00017,PRD-0013,SUP-011,WH-003,WH-001,Road,311,405313.86,2023-10-26,2023-10-31,,5,,1,True,Delayed,,9985.51,DHL
SHP-00018,PRD-0022,SUP-014,WH-005,WH-001,Air Freight,301,144600.4,2024-03-11,2024-03-17,,6,,1,True,Delayed,,13833.65,Kuehne+Nagel
SHP-00019,PRD-0046,SUP-008,WH-006,WH-003,Multimodal,30,21174.6,2023-05-08,2023-05-24,2023-05-26,16,18.0,0,False,Delivered,,13363.46,UPS
SHP-00020,PRD-0049,SUP-005,WH-004,WH-007,Multimodal,354,30490.02,2024-09-10,2024-10-09,,29,,0,False,Lost,,12357.03,Maersk
SHP-00021,PRD-0016,SUP-005,WH-004,WH-001,Multimodal,219,293738.13,2023-06-29,2023-07-12,2023-08-11,13,43.0,30,True,Delivered,Rotterdam Port Strike,5132.96,MSC
SHP-00022,PRD-0043,SUP-015,WH-007,WH-001,Road,171,82269.81,2023-06-14,2023-06-19,2023-06-18,5,4.0,0,False,Delivered,,3935.5,MSC
SHP-00023,PRD-0052,SUP-011,WH-007,WH-004,Air Freight,399,735089.67,2024-02-18,2024-02-25,2024-02-27,7,9.0,0,False,Delivered,,963.85,FedEx
SHP-00024,PRD-0030,SUP-005,WH-002,WH-007,Ocean Freight,169,134796.09,2024-07-16,2024-08-07,2024-08-07,22,22.0,0,False,Delivered,,8352.42,XPO Logistics
